Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
Nepal,16,30,31,31,31,42,45,48,49,49,52,52,54,57,57,59,59,75,75,82,99,101,102,109,110,134,217,243,249,267,281,295,375,402,427,457,516,584,603,682,772,886,"1,042","1,212","1,401","1,572","1,811","2,099","2,300","2,634","2,912","3,235","3,448","3,762","4,086","4,364","4,614","5,062","5,335","5,760","6,211","6,591","7,177","7,848","8,274","8,605","9,026","9,561","10,099","10,728","11,162","11,755","12,309","12,772","13,248","13,564","14,046","14,519","15,259","15,491","15,784","15,964","16,168","16,423","16,531","16,649","16,719","16,801","16,945","17,061","17,177","17,344","17,445","17,502","17,658","17,844","17,994","18,094","18,241","18,374","18,483","18,613","18,752","19,063","19,273","19,547","19,771","20,086","20,332","20,750","21,009","21,390","21,750","22,214","22,592","22,972","23,310","23,948","24,432","24,957","25,551","26,019","26,660","27,241","28,257","28,938","29,645","30,483","31,117","31,935","32,678","33,533","34,418","35,529","36,456","37,340","38,561","39,460","40,529","41,649","42,877","44,236","45,277","46,257","47,236","48,138","49,219","50,465","51,918","53,120","54,159","55,329","56,788","58,327","59,573","61,593","62,797","64,122","65,276","66,632","67,804","69,301","70,614","71,821","73,394","74,745","76,258","77,817","79,728","82,450","84,570","86,823","89,263","90,814","94,253","98,617","100,676","105,684","107,755","111,802","115,358","117,996","121,745","126,137","129,304","132,246","136,036","139,129","144,872","148,509","153,008","155,233","158,089","159,830","160,400","162,354","164,718","168,235","170,743","173,567"
Chad,27,27,33,33,33,33,33,33,40,46,46,46,52,52,73,73,117,117,117,170,170,253,260,322,322,322,357,372,399,428,474,503,519,545,565,588,611,648,675,687,700,715,726,759,759,778,790,803,820,828,836,836,837,839,844,846,848,848,848,850,850,853,854,854,858,858,858,858,860,860,863,865,865,866,866,866,866,868,871,871,872,872,873,873,873,874,874,880,880,884,885,886,887,889,889,889,889,889,915,915,915,915,922,926,926,935,936,936,936,936,938,939,942,942,942,944,945,946,949,949,951,952,956,959,970,971,972,981,982,986,987,995,998,"1,004","1,008","1,008","1,012","1,013","1,017","1,017","1,018","1,023","1,034","1,039","1,040","1,045","1,048","1,051","1,081","1,083","1,084","1,085","1,087","1,090","1,115","1,147","1,149","1,151","1,153","1,155","1,164","1,171","1,175","1,177","1,178","1,185","1,193","1,200","1,203","1,211","1,214","1,217","1,223","1,238","1,251","1,262","1,274","1,291","1,304","1,308","1,321","1,329","1,350","1,361","1,365","1,379","1,390","1,399","1,404","1,410","1,423","1,434","1,437","1,441","1,460","1,468","1,473","1,483","1,483","1,498"
Macao,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Syria,33,38,38,39,39,42,42,42,42,42,43,43,43,43,43,44,44,44,44,44,45,45,47,47,47,47,47,48,48,50,51,58,58,58,58,58,59,70,86,106,121,121,122,122,122,122,123,123,123,124,124,125,141,144,146,152,164,164,170,177,177,177,178,187,187,198,204,219,231,231,242,255,256,256,269,279,293,312,328,338,358,372,372,372,372,394,394,394,417,439,458,477,496,496,496,522,540,561,584,608,627,650,674,694,717,738,757,780,809,847,892,944,999,"1,060","1,125","1,188","1,255","1,327","1,327","1,432","1,515","1,593","1,677","1,764","1,844","1,927","2,008","2,073","2,143","2,217","2,293","2,365","2,440","2,504","2,563","2,628","2,703","2,765","2,830","2,898","2,973","3,041","3,104","3,171","3,229","3,289","3,351","3,416","3,476","3,506","3,540","3,576","3,614","3,654","3,691","3,731","3,765","3,800","3,833","3,877","3,924","3,966","4,001","4,038","4,072","4,102","4,148","4,200","4,247","4,289","4,329","4,366","4,411","4,457","4,504","4,566","4,616","4,673","4,718","4,774","4,826","4,883","4,931","4,987","5,033","5,077","5,134","5,180","5,224","5,267","5,319","5,359","5,408","5,461","5,528","5,580","5,633","5,683","5,728","5,789"
Eritrea,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,41,65,96,109,121,131,142,142,143,143,143,143,144,144,167,191,191,191,203,203,215,215,215,215,215,215,215,232,232,232,232,232,232,232,251,251,251,251,251,251,251,261,261,263,263,265,265,265,279,279,279,279,282,282,282,282,285,285,285,285,285,285,285,285,285,285,285,304,304,306,306,306,306,306,315,315,317,317,318,318,319,319,319,330,330,330,330,330,341,341,361,361,361,361,361,364,364,364,364,364,364,364,364,364,369,369,375,375,375,375,375,381,381,398,398,398,398,398,405,405,414,414,414,414,414,422,422,452,452,452,452,452,457,461,461,461,461,461,461,461,463,463,463
Saint Martin,35,35,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,78,78,84,84,92,109,109,109,121,121,121,121,176,176,176,176,198,198,198,213,213,213,213,213,213,239,239,239,239,239,239,256,256,256,256,256,330,330,330,330,330,330,330,330,330,367,367,367,367,383,383,383,383,403,403,412,412,412,412,412,412,466,466,466,466,466,501,501,531,531,531,531,531,538,538,538,538,538,542,566,566,566,566,566,566
Mongolia,31,31,31,32,33,34,35,35,36,37,38,38,38,38,38,38,39,39,40,41,41,41,42,42,42,42,42,42,61,98,135,136,140,140,140,140,141,141,141,141,141,148,161,179,179,179,185,185,185,186,191,193,193,194,194,194,194,197,197,197,197,197,197,201,204,204,206,213,215,215,216,219,219,219,220,220,220,220,220,220,220,220,225,227,227,227,227,230,230,243,261,261,262,287,287,287,287,287,287,288,288,288,288,289,291,291,291,291,293,293,293,293,293,293,293,293,293,293,293,297,297,298,298,298,298,298,298,298,298,298,298,298,300,301,301,301,301,301,304,306,306,310,310,310,310,310,310,310,311,311,311,311,311,311,311,311,311,312,312,313,313,313,313,313,313,313,313,313,313,313,313,313,314,315,315,315,315,315,316,318,320,320,320,320,320,324,324,326,327,328,328,337,338,339,340,340,340,340,346,346
Malawi,16,17,17,17,17,18,23,33,33,33,34,36,36,36,37,37,38,39,41,41,43,43,43,56,56,57,57,63,63,63,65,70,70,70,71,72,82,82,83,101,101,101,203,273,279,284,336,358,369,393,409,409,438,443,455,455,481,481,529,547,555,564,572,592,620,620,730,749,803,941,960,"1,005","1,038","1,146","1,152","1,224","1,265","1,342","1,498","1,613","1,613","1,742","1,818","1,864","1,942","2,069","2,261","2,364","2,430","2,497","2,614","2,712","2,805","2,810","2,907","2,992","3,045","3,149","3,302","3,453","3,557","3,640","3,664","3,709","3,738","3,858","4,078","4,186","4,231","4,272","4,361","4,426","4,491","4,575","4,624","4,658","4,674","4,714","4,752","4,912","4,988","5,026","5,072","5,125","5,193","5,240","5,282","5,322","5,382","5,414","5,419","5,423","5,474","5,496","5,523","5,528","5,536","5,566","5,576","5,579","5,593","5,608","5,611","5,614","5,621","5,630","5,653","5,655","5,669","5,678","5,690","5,697","5,701","5,704","5,711","5,716","5,718","5,731","5,733","5,739","5,746","5,747","5,764","5,766","5,768","5,770","5,772","5,773","5,779","5,783","5,783","5,786","5,794","5,796","5,803","5,809","5,813","5,821","5,821","5,824","5,827","5,829","5,836","5,842","5,852","5,857","5,860","5,861","5,864","5,874","5,885","5,887","5,890","5,894","5,897","5,904","5,916","5,923","5,930","5,932"
Zimbabwe,23,24,25,25,25,28,28,28,29,31,31,31,32,32,40,40,34,34,34,34,34,34,34,35,36,36,36,37,37,42,42,44,46,46,48,51,51,56,56,56,56,132,149,149,174,178,203,206,222,237,265,279,282,287,314,320,332,343,356,383,387,391,401,463,479,479,489,512,525,530,551,561,567,567,574,591,605,617,625,698,716,734,787,885,926,942,982,985,"1,034","1,064","1,089","1,362","1,420","1,478","1,611","1,713","1,820","2,034","2,124","2,296","2,434","2,512","2,704","2,817","2,879","3,092","3,169","3,659","3,921","4,075","4,221","4,221","4,339","4,451","4,575","4,649","4,748","4,818","4,893","4,990","5,072","5,176","5,261","5,308","5,378","5,643","5,745","5,815","5,893","5,930","6,070","6,196","6,251","6,292","6,388","6,406","6,412","6,497","6,559","6,638","6,678","6,837","6,837","6,837","7,298","7,388","7,429","7,453","7,479","7,508","7,526","7,531","7,576","7,598","7,633","7,647","7,672","7,683","7,683","7,711","7,725","7,752","7,787","7,803","7,812","7,816","7,837","7,838","7,850","7,858","7,885","7,888","7,898","7,915","7,919","7,951","7,994","8,010","8,011","8,021","8,036","8,055","8,075","8,099","8,110","8,147","8,159","8,187","8,215","8,242","8,257","8,269","8,276","8,303","8,315","8,320","8,349","8,362","8,367","8,374"
Angola,19,19,24,24,24,24,25,25,25,25,26,27,27,27,27,30,35,35,35,36,36,36,43,43,43,45,45,45,48,48,48,48,50,52,52,58,60,61,69,70,70,71,74,81,84,86,86,86,86,86,86,88,91,92,96,113,118,130,138,140,142,148,155,166,172,176,183,186,189,197,212,212,259,267,276,284,291,315,328,346,346,346,386,386,396,458,462,483,525,541,576,607,638,687,705,749,779,812,851,880,916,932,950,"1,000","1,078","1,109","1,148","1,164","1,199","1,280","1,344","1,395","1,483","1,538","1,572","1,672","1,679","1,735","1,762","1,815","1,852","1,879","1,906","1,935","1,966","2,015","2,044","2,068","2,134","2,171","2,222","2,283","2,332","2,415","2,471","2,551","2,624","2,654","2,729","2,777","2,805","2,876","2,935","2,965","2,981","3,033","3,092","3,217","3,279","3,335","3,388","3,439","3,569","3,675","3,789","3,848","3,901","3,991","4,117","4,236","4,363","4,475","4,590","4,672","4,718","4,797","4,905","4,972","5,114","5,211","5,370","5,402","5,530","5,725","5,725","5,958","6,031","6,246","6,366","6,488","6,680","6,846","7,096","7,222","7,462","7,622","7,829","8,049","8,338","8,582","8,829","9,026","9,381","9,644","9,871","10,074","10,269","10,558","10,805","11,035"
Antigua and Barbuda,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,65,65,65,65,69,69,69,69,69,68,68,68,70,70,70,73,74,74,74,74,74,74,74,76,76,76,76,76,76,76,82,82,82,86,86,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,93,93,93,93,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,97,97,98,98,101,101,101,101,101,106,107,107,107,107,108,111,111,111,111,111,111,112,112,112,113,119,119,119,122,122,122,124,124,124,124,124,124,127,127,128
Timor-Leste,18,18,18,19,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30
Botswana,15,15,15,20,20,20,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,29,30,30,35,35,35,35,35,35,35,35,38,40,40,40,40,40,40,42,42,48,48,48,60,60,60,60,79,79,89,89,89,89,89,92,92,92,92,92,175,227,227,227,277,277,277,314,314,314,314,314,314,399,399,399,399,522,522,522,522,522,522,522,592,686,686,686,739,739,804,804,804,804,804,804,804,804,804,804,804,804,"1,066","1,066","1,066","1,214","1,214","1,214","1,214","1,308","1,308","1,308","1,308","1,308","1,308","1,308","1,562","1,562","1,633","1,633","1,633","1,633","1,633","1,724","1,724","1,724","1,724","2,002","2,002","2,002","2,126","2,126","2,126","2,252","2,252","2,252","2,252","2,463","2,463","2,463","2,567","2,567","2,567","2,567","2,567","2,567","2,567","2,921","2,921","2,921","2,921","3,172","3,172","3,172","3,172","3,172","3,172","3,172","3,172","3,172","3,172","3,219","3,219","3,219","3,219","3,515","3,515","3,515","3,914","5,242","5,242","5,242","5,609","5,609","5,609","5,923","5,923","5,923","5,923","6,283","6,283","6,283","6,642","6,642","6,642","6,642"
CAR,12,12,12,12,12,14,14,16,16,16,19,50,50,50,50,72,72,72,85,85,94,94,143,143,143,143,143,143,143,301,327,327,327,366,418,436,479,552,604,652,671,702,755,874,962,"1,011","1,069","1,069","1,173","1,288","1,451","1,570","1,634","1,850","1,850","1,888","1,952","2,044","2,057","2,057","2,222","2,410","2,564","2,605","2,605","2,686","2,808","2,963","3,051","3,099","3,244","3,340","3,429","3,429","3,613","3,745","3,745","3,788","3,918","3,969","3,969","4,033","4,071","4,109","4,200","4,259","4,288","4,288","4,321","4,356","4,362","4,373","4,389","4,485","4,485","4,548","4,561","4,574","4,590","4,593","4,598","4,599","4,599","4,599","4,605","4,605","4,608","4,614","4,614","4,614","4,618","4,618","4,620","4,641","4,641","4,641","4,641","4,645","4,652","4,652","4,652","4,652","4,652","4,667","4,679","4,679","4,679","4,679","4,679","4,679","4,679","4,691","4,698","4,698","4,700","4,700","4,700","4,711","4,711","4,712","4,729","4,729","4,729","4,729","4,729","4,735","4,736","4,747","4,749","4,749","4,749","4,772","4,772","4,782","4,782","4,786","4,786","4,786","4,786","4,802","4,802","4,804","4,806","4,806","4,806","4,806","4,806","4,829","4,829","4,829","4,845","4,845","4,845","4,852","4,852","4,853","4,853","4,854","4,854","4,854","4,854","4,855","4,855","4,855","4,855","4,855","4,856","4,858","4,858","4,862","4,862","4,862","4,862","4,863","4,863","4,863","4,863","4,866","4,866","4,866"
Laos,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24
Belize,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,21,21,22,22,22,22,22,22,23,23,23,23,24,24,24,24,28,28,28,30,30,30,30,30,30,33,37,37,37,39,39,40,40,40,40,40,42,43,43,47,48,48,48,48,48,48,48,48,57,57,57,72,86,114,146,153,154,177,210,296,356,388,452,452,475,553,605,648,668,686,713,730,760,818,870,964,993,"1,007","1,050","1,101","1,118","1,152","1,194","1,194","1,307","1,307","1,361","1,365","1,399","1,435","1,458","1,480","1,501","1,528","1,536","1,567","1,590","1,606","1,627","1,635","1,669","1,706","1,758","1,808","1,825","1,854","1,891","1,943","1,992","2,026","2,080","2,131","2,196","2,204","2,243","2,310","2,373","2,427","2,496","2,531","2,569","2,585","2,619","2,682","2,728","2,775","2,813","2,833","2,886","2,937","2,995","3,050","3,106","3,145","3,200","3,232","3,261","3,382","3,462","3,487"
Fiji,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,21,21,21,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,34,34,34
Grenada,14,14,14,14,14,14,15,15,15,18,18,18,18,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28
New Caledonia,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28
Curaçao,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,19,19,19,20,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,26,26,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,32,32,32,33,34,36,36,36,36,37,37,39,43,47,49,53,57,62,67,68,69,71,75,78,88,92,102,107,116,131,135,145,157,161,169,192,210,228,247,268,282,291,301,315,329,337,360,364,370,392,399,411,429,452,462,476,505,532,549,571,583,585,619,645,673,698,715,744,751,759,785,804,818,837,858,873,884,907,944,958,970,987
Dominica,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,31,31,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,33,33,37,38,38,38,38,38,38,42,50,50
Namibia,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,20,21,21,21,22,22,23,23,24,25,25,25,25,25,29,29,31,31,31,31,31,32,32,32,34,36,39,45,46,55,63,72,76,102,121,136,183,196,205,285,293,350,375,412,485,539,593,615,668,713,785,861,864,960,"1,032","1,078","1,203","1,247","1,344","1,366","1,402","1,522","1,618","1,687","1,775","1,843","1,917","1,986","2,052","2,129","2,224","2,294","2,406","2,470","2,540","2,652","2,802","2,802","2,949","3,101","3,229","3,406","3,544","3,726","3,907","4,154","4,344","4,464","4,665","4,912","5,227","5,538","5,854","6,030","6,160","6,431","6,712","6,906","7,116","7,365","7,550","7,692","7,844","8,082","8,323","8,514","8,685","8,810","8,928","9,108","9,256","9,437","9,604","9,719","9,818","9,901","9,964","10,078","10,207","10,292","10,377","10,526","10,607","10,663","10,740","10,835","10,918","11,033","11,121","11,140","11,265","11,373","11,480","11,572","11,626","11,654","11,673","11,714","11,781","11,829","11,891","11,936","11,989","12,000","12,069","12,103","12,215","12,263","12,293","12,326","12,367","12,406","12,460","12,501","12,579","12,660","12,675","12,729","12,806","12,858","12,907","12,935","12,988"
Saint Kitts and Nevis,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
